rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
5293,9777087,K03747.02,,FALSE POSITIVE,FALSE POSITIVE,,5193.00,189.00,-172.00,4.689,0.025,-0.093,-0.7600,0.3200,-0.3000,0.6210,0.0900,-0.0350,0.6870,0.0640,-0.0570,,,
5294,4247807,K03748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5440.00,207.00,-189.00,4.496,0.092,-0.127,-0.3000,0.3500,-0.3000,0.8250,0.1540,-0.1030,0.7790,0.1130,-0.0610,,,
5295,11547869,K03749.01,,CANDIDATE,CANDIDATE,0.0000,3324.00,66.00,-73.00,5.006,0.075,-0.083,0.0800,0.1500,-0.1500,0.2680,0.0630,-0.0560,0.2670,0.0720,-0.0640,,,
5296,7700590,K03750.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5884.00,195.00,-195.00,4.453,0.130,-0.174,-0.6400,0.3000,-0.3000,0.8760,0.2210,-0.1360,0.7940,0.1030,-0.0550,,,
5297,9053086,K03751.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6211.00,197.00,-241.00,4.247,0.185,-0.185,-0.1600,0.2500,-0.3000,1.2810,0.3960,-0.2640,1.0550,0.1690,-0.1390,,,
5298,3128552,K02055.02,Kepler-1073 c,CONFIRMED,CANDIDATE,0.9860,5509.00,82.00,-74.00,4.308,0.156,-0.104,0.1600,0.1500,-0.1500,1.1160,0.1690,-0.1860,0.9240,0.0620,-0.0430,,,
5299,5467113,K03825.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5641.00,186.00,-169.00,3.948,0.495,-0.165,-0.1200,0.3000,-0.2500,1.7760,0.4530,-0.8410,1.0210,0.1280,-0.1570,,,
5300,8240123,K03826.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5641.00,186.00,-186.00,4.554,0.035,-0.196,-0.0600,0.3000,-0.3000,0.8500,0.2480,-0.0780,0.9440,0.0940,-0.1150,,,
5301,5114623,K03827.01,,FALSE POSITIVE,FALSE POSITIVE,,6029.00,171.00,-216.00,4.452,0.056,-0.293,-0.0800,0.2200,-0.3000,0.9980,0.4270,-0.1010,1.0250,0.1810,-0.1220,,,
5302,5114623,K03827.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,,,,,,,,,,,,,,
